filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,accuracy_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,207252,3.064,9.313026995228446,0.16889035368152489,0.05569874356458513,0.004621922340105101
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,592128,6.067,13.267996105098995,0.15499100540170704,0.0578616579077555,0.004620536992377299
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,837607,6.1850000000000005,13.53988603988604,0.15454162907143634,0.057764162145559385,0.004620536992377299
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,1159584,8.118,16.50827900390666,0.15585340047802088,0.060418867859752395,0.004618962766693674
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,1429356,5.962,13.222471374992558,0.15558234542452193,0.05889146700606966,0.0046186759400431154
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,1693252,5.94,13.155505152840504,0.1557877076079824,0.05905326928367611,0.004618977014264171
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,383778,36.252,78.53130772420552,0.05466118965292101,0.003280054236407483,0.004565503133491827
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,736011,36.186,78.53321948100185,0.05481881737176072,0.003275075778768772,0.004566628068024285
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,1110790,36.344,78.51939102135097,0.054681254724793564,0.0032767384386810003,0.004566628068024285
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,1413738,51.212999999999994,78.45075865777224,0.03404581440940933,0.0032756735561898136,0.004566628068024285
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,1490845,51.665000000000006,78.56727952710656,0.03377592026513151,0.0032683683292259757,0.004566628068024285
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,1585308,53.869,78.39336850903472,0.033569876153066884,0.00327770162784858,0.004566628068024285
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,460779,35.879,74.92027280232108,0.034975460228940145,0.0035481933228424267,0.004622543847677192
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,753579,44.948,76.37578774756119,0.027209507014194195,0.0034247092077378384,0.004609349115678661
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,1079803,44.746,76.09527635950931,0.027201836508147063,0.003435590081226614,0.004609349115678661
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,1474311,49.745,77.3390393924321,0.025387904484427695,0.003389266393786935,0.004591230592549041
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,1828829,59.363,77.91635863728507,0.02182278258436284,0.0033186700160407674,0.004576009260245576
NBV_raw_3_drones_iteration_5.ply,NBV,3,5,2452491,70.817,78.16636330216001,0.019635994255900152,0.003290548723947583,0.004556089396424023
NBV_raw_4_drones_iteration_0.ply,NBV,4,0,941695,56.377,78.42631834503264,0.025009901014143358,0.0032719644962543757,0.004557447667212411
NBV_raw_4_drones_iteration_1.ply,NBV,4,1,1395620,66.963,78.3616391974291,0.017002911456943336,0.003270890078475585,0.004557447667212411
NBV_raw_4_drones_iteration_2.ply,NBV,4,2,1930064,76.845,78.12052267141505,0.015208460094027482,0.003292535822132634,0.004556662670559673
NBV_raw_4_drones_iteration_3.ply,NBV,4,3,2110259,76.945,78.05382152440605,0.01515367888548596,0.0032939992933102504,0.004556662670559673
NBV_raw_4_drones_iteration_4.ply,NBV,4,4,2284517,77.319,78.32539750234562,0.014966431523911571,0.0032823423708005254,0.004556662670559673
NBV_raw_4_drones_iteration_5.ply,NBV,4,5,2610653,77.495,78.05171133042441,0.015080049615310861,0.0032939575472598947,0.004556662670559673
NBV_raw_5_drones_iteration_0.ply,NBV,5,0,746484,40.435,78.37548094035492,0.029321874416666737,0.003272990520007997,0.004559543388146638
NBV_raw_5_drones_iteration_1.ply,NBV,5,1,929941,51.024,78.40916326250213,0.02552053390944331,0.0032784405046134397,0.004559543388146638
NBV_raw_5_drones_iteration_2.ply,NBV,5,2,1369314,66.44200000000001,78.31502962485827,0.014664075817230789,0.0032814789281808473,0.004559543388146638
NBV_raw_5_drones_iteration_3.ply,NBV,5,3,2099956,12.727,12.090348635509548,0.12042487501871957,0.06834177167654626,0.004555448447703216
NBV_raw_5_drones_iteration_4.ply,NBV,5,4,2533918,12.222,11.494606049312722,0.1216832745409125,0.06875212725452759,0.004555448447703216
NBV_raw_5_drones_iteration_5.ply,NBV,5,5,3313927,18.613,14.355025276325936,0.11815651440191842,0.06934616927401913,0.004553899392152611
NBV_raw_6_drones_iteration_0.ply,NBV,6,0,119796,1.7319999999999998,10.145172815826093,0.11076067950773578,0.026373810859205253,0.004675062987022019
NBV_raw_6_drones_iteration_1.ply,NBV,6,1,433144,5.4350000000000005,18.626746808805557,0.1271932917309518,0.06540590196979108,0.004584976299807887
NBV_raw_6_drones_iteration_2.ply,NBV,6,2,1539238,11.879000000000001,16.724000906636523,0.12034320786739233,0.06612499250770233,0.004571013480081839
NBV_raw_6_drones_iteration_3.ply,NBV,6,3,1976161,12.6,14.858456159927519,0.12210329708753336,0.06933693607566369,0.004571013480081839
NBV_raw_6_drones_iteration_4.ply,NBV,6,4,2475651,15.633,17.617040369333946,0.11896658935762847,0.06546160405683675,0.004571013480081839
NBV_raw_6_drones_iteration_5.ply,NBV,6,5,3314419,22.717000000000002,23.507956965257872,0.11152741592083523,0.05911206038866285,0.004567900460435285
NBV_raw_7_drones_iteration_0.ply,NBV,7,0,971650,40.581,78.66304895910869,0.02705200118560585,0.0032609787716089515,0.0045584334536960215
NBV_raw_7_drones_iteration_1.ply,NBV,7,1,1399657,52.047,78.67834817009539,0.020133237356154795,0.0032696500142766114,0.0045584334536960215
NBV_raw_7_drones_iteration_2.ply,NBV,7,2,1826003,65.97,78.03936147613123,0.014772866287698602,0.003293959024295118,0.0045584334536960215
NBV_raw_7_drones_iteration_3.ply,NBV,7,3,2592744,79.219,78.02865078657953,0.008965483463901225,0.0032969387027424416,0.0045571341007662625
NBV_raw_7_drones_iteration_4.ply,NBV,7,4,3028971,83.37,78.27705939136787,0.006422046077673275,0.003282919455257514,0.0045571341007662625
NBV_raw_7_drones_iteration_5.ply,NBV,7,5,3837530,91.391,78.42573395654557,0.003349942293665693,0.003281418746046194,0.0045571341007662625
NBV_raw_8_drones_iteration_0.ply,NBV,8,0,1256505,59.132,78.5321787921615,0.022671970899692747,0.0032685737730890393,0.00455702905629076
NBV_raw_8_drones_iteration_1.ply,NBV,8,1,1988354,79.00399999999999,78.21405779425129,0.012647823833049904,0.0032861004464362453,0.00455702905629076
NBV_raw_8_drones_iteration_2.ply,NBV,8,2,2495272,83.279,78.23894691563268,0.011452656755410589,0.0032859274722478,0.00455702905629076
NBV_raw_8_drones_iteration_3.ply,NBV,8,3,3530443,83.557,77.90336377017914,0.010867715040969585,0.0033007186265761384,0.00455702905629076
NBV_raw_8_drones_iteration_4.ply,NBV,8,4,4992193,84.271,78.30891096085472,0.010530158018829516,0.0032822117573340155,0.004556073054251789
NBV_raw_8_drones_iteration_5.ply,NBV,8,5,5922848,84.661,78.33197835853314,0.010490154517279604,0.003283108345760732,0.004556073054251789
